CAMAQUA,36264293.49999999,66478,545.5081906796232,1680.168,0.697,17.81,179124119.0,152356303.86,30465.98
CAMARGO,6732236.64,2742,2455.228533916849,138.069,0.736,37.04,18751736.099999998,15998181.01,60853.95
CAMBARA DO SUL,4989763.250000001,6406,778.9202700593195,1181.811,0.697,15.63,27082760.38,23798824.72,28008.65
CAMPESTRE DA SERRA,5781016.94,3395,1702.8032223858618,537.994,0.706,74.07,19492707.09,17085866.25,50780.76
CAMPINA DAS MISSOES,3793048.0,5398,702.6765468692108,224.801,0.738,16.95,25398232.31,21983458.82,27450.04
CAMPINAS DO SUL,5904953.129999998,5438,1085.8685417432876,276.162,0.76,18.52,22542712.14,19560178.619999997,40461.26
CAMPO BOM,33444612.24,69458,481.5084258112816,60.579,0.745,4.42,295667573.45000005,223333197.19,47163.5
CAMPO NOVO,3971448.440000001,4376,907.5522029250459,220.719,0.703,11.76,19491587.790000003,17638815.14,45569.06
CAMPOS BORBES,2633193.61,3295,799.1482883156297,226.202,0.708,17.54,19979979.78,16505202.51,29714.95
CANDELARIA,15636047.95,31421,497.6305003023455,944.058,0.674,15.53,92299970.8,74456989.89,26579.24
CANDIDO GODOI,5895056.08,6151,958.3898683140952,247.047,0.728,21.28,27554152.65,22357002.11,38102.02
CANDIOTA,12384795.120000001,9647,1283.79756608272,933.628,0.698,7.69,60622883.48,49151989.9,66192.85
CANELA,13193911.27,45488,290.05256924903273,253.002,0.748,10.8,150158767.23999998,139251530.41,25378.74
CANGUCU,24609129.380000003,56211,437.79917418298913,3526.253,0.65,15.38,161314128.20000002,132705375.91,19932.46
CANOAS,488033239.35000014,348208,1401.5566539252404,130.789,0.75,8.62,1696189306.7,1511073044.85,55594.2
CANUDOS DO VALE,3282797.75,1705,1925.3945747800587,82.908,0.713,66.67,14798569.030000001,11649256.219999999,25040.62
CAPAO BONITO DO SUL,5190460.930000001,1641,3162.986550883608,526.85,0.637,55.56,16948247.060000002,14604307.280000001,118271.57
CAPAO DA CANOA,2440301.670000002,54051,45.14813176444473,98.29,0.743,15.64,214804365.35999998,191982067.35999998,27586.32
CAPAO DO CIPO,8923153.969999999,3699,2412.3152122195183,1007.796,0.672,35.71,24147849.93,19946168.08,89491.93
CAPAO DO LEAO,11061448.71,25409,435.33585383131964,783.624,0.637,21.05,61854145.78,55573083.839999996,20071.27
CAPELA DE SANTANA,4051405.6900000004,4728,856.8962965313029,412.889,0.766,21.28,21416846.35,19148513.98,45334.3
CAPITAO,6638114.64,12064,550.241598143236,182.595,0.661,7.87,35142838.0,27958525.99,17164.57
CAPIVARI DO SUL,5124883.840000001,2763,1854.825855953674,73.967,0.746,35.71,21044282.61,18205945.61,23671.55
CARAA,2867558.55,62265,46.05410021681522,666.694,0.766,12.39,247260226.85999998,205274168.65,48591.24
CARAZINHO,52930792.16,8350,6339.0170251497,294.456,0.652,45.45,23665950.06,20893657.889999997,13451.66
CARLOS BARBOSA,42170331.4,30241,1394.4754273998876,230.68,0.796,6.64,134175344.8,107434302.47,85997.12
CARLOS GOMES,1773983.5299999998,1351,1313.0892153960028,83.155,0.739,-,13093961.129999999,10925403.66,27714.78
CASCA,10449486.240000002,9051,1154.5117931720254,272.041,0.785,8.55,32602689.4,28589455.880000003,48621.48
CASEIROS,4317458.31,3216,1342.4932555970147,235.863,0.703,26.32,20258926.61,14000498.79,42539.09
CATUIPE,8659998.709999999,8701,995.2877496839443,583.184,0.739,35.71,29730563.79,26224634.099999998,43987.78
CAXIAS DO SUL,311016226.77000004,517451,601.0544510881224,1652.308,0.782,8.91,1943956488.08,1758354814.87,48959.4
CENTENARIO,3082650.960000001,2877,1071.4810427528678,134.23,0.701,60.61,15047603.26,12156034.98,25470.52
CERRITO,3420373.5700000003,6047,565.631481726476,451.699,0.649,20,21877957.11,17786055.14,15278.24
CERRO BRANCO,2669170.4200000004,4706,567.1845346366341,158.025,0.661,23.26,22828047.75,17549231.29,15482.58
CERRO GRANDE,1577330.5999999999,2296,686.9906794425086,73.438,0.674,33.33,16236366.190000001,13082012.19,24152.21
CERRO GRANDE DO SUL,3854163.7900000005,12413,310.494142431322,324.908,0.66,7.81,29144086.0,27192420.81,13284.89
CERRO LARGO,4762304.879999999,14189,335.63358094298394,176.643,0.764,13.33,47201373.18,42105724.76,52173.65
CHAPADA,10294974.87,9239,1114.2953642169066,684.247,0.757,14.71,42527391.7,35331692.349999994,50329.86
CHARQUEADAS,29404744.04,41258,712.7040583644384,217.362,0.747,5.45,117582829.95,104656384.65,42460.28
CHARRUA,3007369.0399999996,3252,924.7752275522754,198.748,0.62,30.3,15072803.809999999,12085119.9,27751.75
CHIAPETA,6575021.010000001,3719,1767.954022586717,397.179,0.732,17.86,20474642.380000003,17318541.46,56408.67
CHUI,6013229.42,6770,888.2170487444608,202.387,0.706,22.73,22187412.970000003,18799203.0,57139.27
CHUVISCA,2923704.01,5480,533.5226295620438,220.471,0.616,61.22,18391687.87,16082566.31,18909.13
CIDREIRA,2023726.6300000004,16583,122.036219622505,243.42,0.729,4.98,64061617.63999999,55416893.92,17575.91
CIRIACO,4097680.480000001,4719,868.3366136893411,274.35,0.719,58.82,21993928.16,17742465.080000002,31167.73
COLINAS,5026234.029999999,2469,2035.7367476711217,60.732,0.765,38.46,18400225.5,14119315.34,24097.69
COLORADO,5916860.620000001,3130,1890.3708051118215,286.295,0.758,41.67,23770048.31,18230229.09,65388.67
CONDOR,9385774.71,6759,1388.633630714603,463.568,0.747,12.05,34620939.41,28217671.75,57445.77
CONSTANTINA,7238047.27,9907,730.5993004945998,203.614,0.754,24,34866852.25,31729666.88,30642.99
COQUEIRO BAIXO,2468688.5499999993,1495,1651.2966889632103,112.439,0.692,285.71,13736835.25,12098703.76,22487.08
COQUEIROS DO SUL,3871157.78,2286,1693.4198512685914,277.147,0.746,47.62,19331415.31,14959060.93,52168.1
CORONEL BARROS,3997547.6,2520,1586.3284126984126,163.684,0.744,37.04,20534238.41,16595227.05,48213.49
CORONEL BICACO,6567622.83,7268,903.635502201431,492.303,0.665,11.11,35370868.67,24301260.92,40506.06
CORONEL PILAR,2738315.0799999996,1614,1696.6016604708796,105.447,0.727,66.67,15138039.02,10343473.61,24110.93
COTIPORA,5925551.99,3838,1543.916620635748,173.207,0.741,41.67,21260068.419999998,18039338.11,40870.16
COXILHA,6780034.920000001,2743,2471.7589938024066,422.101,0.706,31.25,20612125.080000002,15593650.540000001,79144.17
CRISSIUMAL,8224437.149999999,13357,615.7398480197648,362.194,0.712,7.52,41619497.43,37252241.260000005,25509.72
CRISTAL,5180527.16,8067,642.1875740671874,682.138,0.644,12.2,31927743.020000003,25180213.75,22553.79
CRISTAL DO SUL,2871296.1299999994,2844,1009.5977953586496,97.077,0.66,37.04,15033462.32,14644240.67,20636.29
CRUZ ALTA,32083826.61,59922,535.4264979473315,1360.548,0.75,6.96,153363771.04,143288813.72,65065.59
CRUZALTENSE,2890416.5899999994,1799,1606.6795942190101,166.883,0.719,47.62,14893472.39,12365563.14,45673.33
CRUZEIRO DO SUL,9529105.43,12402,768.3523165618449,155.058,0.723,9.43,33724296.67,30091972.4,29050.27
DAVID CANABARRO,4409760.03,4736,931.1148711993244,174.734,0.762,54.05,18124685.47,16647680.16,31003.4
DERRUBADAS,4137803.9300000006,2761,1498.6613292285406,360.851,0.707,34.48,18056309.689999998,14847942.530000001,28789.23
DEZESSEIS NOVEMBRO,2265635.35,2378,952.7482548359967,217.363,0.654,37.04,16564363.990000002,12933073.08,15928.74
DILERMANDO DE AGUIAR,4217598.34,3002,1404.9294936708861,600.518,0.648,41.67,20684153.490000002,14532210.67,47554.4
DOIS IRMAOS,14857431.309999999,33119,448.60748543132337,66.114,0.743,17.68,106704393.33000001,90620081.57,62157.03
DOIS IRMAOS MISSOES,3999224.14,2008,1991.6454880478088,226.072,0.67,35.71,15718875.4,13309732.309999999,56332.81
DOIS LAJEADOS,4373369.58,3405,1284.3963524229075,133.535,0.757,80,19161682.6,15301453.620000001,28422.03
DOM FELICIANO,7760170.18,15487,501.07639826951635,1355.195,0.587,13.33,41028692.53,39189235.94,15501.61
DOM PEDRITO,30925542.72,2527,12238.046189157103,78.219,0.691,47.62,17050224.08,13144867.11,21488.71
DOM PEDRO DE ALCANTA,1904145.0699999998,38339,49.66600772059782,5194.051,0.708,4.82,144387336.1,104390853.22999999,34347.33
DONA FRANCISCA,2321277.1199999996,2999,774.0170456818938,114.149,0.697,31.25,17545431.759999998,14104977.549999999,24391.42
DR. MAURICIO CARDOSO,6082740.02,4462,1363.2317391304348,255.731,0.706,51.28,27465603.25,19560662.799999997,42284.55
DR. RICARDO,2220808.43,1975,1124.4599645569622,107.976,0.724,90.91,13955640.06,11586354.2,26187.1
ELDORADO DO SUL,18072419.330000002,41902,431.30206982960243,509.614,0.717,7.01,143141609.1,107529168.47999999,39551.13
ENCANTADO,15844280.590000004,22880,692.4947810314687,140.006,0.767,6.85,83996529.03999999,70043856.89,39380.74
ENCRUZILHADA DO SUL,15784617.289999997,25960,608.0361051617873,3348.447,0.657,14.18,83090590.67999999,64389715.949999996,20766.94
ENGENHO VELHO,1432592.34,982,1458.8516700610999,71.191,0.717,27.03,15833632.030000001,12210941.07,45607.32
